,text,target
0,"UOW has improved our place in the QS World University Rankings, climbing sixteen places to 196th in the world and 10th in Australia.
In 2013 the University set a strategic goal to be ranked in the Top 200 universities in the world. This new ranking puts UOW into that coveted position of Top 200 universities globally.
UOW competed with over 1600 institutions worldwide, including 36 Australian universities, and has jumped 87 places in six years due to our globally recognised research activities.
Thank you to our UOW research community for your dedication to delivering impact for a better world. 👏🏆
➡️ https://uow.to/3fblEw2",true
1,"""We had to work hard to get here and be the light that others can look towards and lead by example"".
When Ernest met Tek in 2013 “something clicked”. Both new to Wollongong after leaving war-torn African countries, they became fast friends. Check out their stories here. ⬇️😁
STAND.UOW.EDU.AU
When Ernest met Tek - UOW's The Stand - University of Wollongong",true
2,"“In a lifetime we come across through many people, what matters is what impact you create into their minds, how positively you use your resources in helping them - and that’s exactly what I am doing in this role - helping peers, building lasting relationships and creating a positive impact that would always be valued.”
– Harsh Raichura, Master of Professional Accounting
UOW's peer mentoring networks are guiding international students to the right support services, sharing valuable experiences, and keeping them informed to enhance their studying experience.
UOW.EDU.AU
2020: How mentoring programs are supporting international students",true
3,"It’s Sunday, her dad and two younger sisters should be driving home from the snow now. The day is growing old though and they have not yet returned…
UOW alumna and teacher in creative writing, Chloe Higgins’ book The Girls weaves between past and present memories, exploring themes of family, grief and sexuality. Winner of the People’s Choice Award at the Victorian Premier’s Literary Awards in 2020, we talk to Chloe about how writing has shaped her life in the years since the accident.
STAND.UOW.EDU.AU
This is what grief looks like",true
4,"This article by UOW's Professor Anthony Dosseto and colleagues was the most read story on The Conversation last week.
When people first arrived in what is now Queensland, they would have found the land inhabited by massive animals including goannas six metres long and kangaroos twice as tall as a human. These findings shed new light on the mystery of what drove these ancient megafauna to extinction. 🤔
THECONVERSATION.COM
Humans coexisted with three-tonne marsupials and lizards as long as cars in ancient Australia",true
5,"UOW's Early Start turns 5️⃣ this week, and with traditional birthday parties off the agenda due to coronavirus restrictions it will celebrate with a Big Birthday Show on Facebook today. 🎈🎉
Early Start CEO Anita Kumar said the fifth anniversary was an important occasion for the initiative.
“Turning five is a big milestone for a child. Those early years are so important in setting the foundation for the rest of their life. It’s a big milestone for Early Start too. I believe we have set a great foundation and made such a positive impact in our first five years. I’m excited by what the future holds.”
A few highlights from Early Start's first five years:
🔬Research
Since 2015, Early Start researchers have been awarded $12.5 million in research income, and produced more than 500 publications, which have been cited more than 30,000 times.
.
✨Discovery Space
In its first five years, Discovery Space welcomed more than 560,000 visitors, and provided curriculum-linked excursions to 20,000 children. It was the first children’s museum based on a university campus and has developed strong links with many community organisations
.
👧 Engagement Centres
Early Start partners with 39 early childhood education and care centres across regional and remote areas of NSW and the ACT, delivering professional development for educators and translating its research into real-world practice to improve the lives of children and their families.
.
🔡Translation Unit
Early Start researchers have made significant contributions to policy and practice at a local, national and international level.
👉 https://uow.to/36n1Xi0",true
6,"Medical supply shortages have been a worldwide problem in the fight against COVID-19.
When UOW Distinguished Professor Antoine van Oijen heard supplies of hand sanitiser were becoming low, he offered any support he and his team at Molecular Horizons could provide. “Our work at Molecular Horizons aims to help solve some of the biggest health challenges facing the world… COVID-19 certainly fits that bill” he says.
Working with pharmacists from Wollongong Hospital and colleagues at IHMRI to make the sanitiser, 200 litres has already been produced and plans are in place to continue production until their regular supplier starts delivering again.
Good work team!👏",true
7,"UOW Tottenham Hotspur Global Football Program students are getting one-on-one coaching sessions from our Tottenham Hotspur coaches, as well as home workouts and tactical programs, to progress their technical skills and maintain their physical condition while COVID-19 restrictions are in place. ⚽️😁",true
8,"The COVID-19 outbreak has seen sweeping changes across the art world. Galleries have been forced to close, exhibitions postponed, and art lectures have moved from classrooms to home computers. But artists have been swift to adapt to the situation, finding new ways to share their work and be inspired by fellow creators.
UOW Student, Jessica has taken to her canvases to capture the beauty and simplicity in everyday objects with her still life paintings.
“People on social media are sharing favourite songs, videos, and artworks to reach out beyond isolation and share what they love.”
🎨👉 https://uow.to/2WUIaC8",true
9,"At a time we are all having to adapt the way we learn and work, UOW final-year medical students have used some innovative approaches to overcome the challenges of remote learning.
Instead of practising on special latex models the students raided their fridges and fruit bowls to practice some of their techniques, suturing raw chicken legs and inserting cannulas into bananas. 🍌👏👩‍⚕️
https://uow.to/3cuK3Mj",true
